Node1_T,Node2,Mutual_Rank
PGK_(AT1G79550),RBCS3B_(AT5G38410),0.000001
PGK_(AT1G79550),SBPASE_(AT3G55800),0.000001
PGK_(AT1G79550),TKTB_(AT3G60750),0.000001
PGK1_(AT3G12780),EMB3119_(AT3G04790),0.000001
PGK1_(AT3G12780),FBA1_(AT2G21330),0.000001
PGK1_(AT3G12780),FBA2_(AT4G38970),0.20278682
PGK1_(AT3G12780),FBA8_(AAT3G52930),0.000001
PGK1_(AT3G12780),FBP_(AT5G64380),0.000001
PGK1_(AT3G12780),GAPA_(AT3G26650),0.021121158
PGK1_(AT3G12780),GAPA-2_(AT1G12900),0.000001
PGK1_(AT3G12780),GAPAB_(AT1G42970),0.135812503
PGK1_(AT3G12780),GAPC1_(AT3G04120),0.000001
PGK1_(AT3G12780),HCEF1_(AT3G54050),0.000001
PGK1_(AT3G12780),PGK_(AT1G56190),0.17090627
PGK1_(AT3G12780),PGK_(AT1G79550),0.000001
PGK1_(AT3G12780),PGK1_(AT3G12780),1
PGK1_(AT3G12780),PRK_(AT1G32060),0.000001
PGK1_(AT3G12780),RBCS1A_(AT1G67090),0.000001
PGK1_(AT3G12780),RBCS1B_(AT5G38430),0.000001
PGK1_(AT3G12780),RBCS2B_(AT5G38420),0.000001
PGK1_(AT3G12780),RBCS3B_(AT5G38410),0.000001
PGK1_(AT3G12780),SBPASE_(AT3G55800),0.71214054
PGK1_(AT3G12780),TKTB_(AT3G60750),0.681594754
PRK_(AT1G32060),EMB3119_(AT3G04790),0.000001
PRK_(AT1G32060),FBA1_(AT2G21330),0.000001
PRK_(AT1G32060),FBA2_(AT4G38970),0.363956836
PRK_(AT1G32060),FBA8_(AAT3G52930),0.000001
PRK_(AT1G32060),FBP_(AT5G64380),0.000001
PRK_(AT1G32060),GAPA_(AT3G26650),0.983576363
PRK_(AT1G32060),GAPA-2_(AT1G12900),0.000001
PRK_(AT1G32060),GAPAB_(AT1G42970),0.657335984
PRK_(AT1G32060),GAPC1_(AT3G04120),0.000001
PRK_(AT1G32060),HCEF1_(AT3G54050),0.223389141
PRK_(AT1G32060),PGK_(AT1G56190),0.000001
PRK_(AT1G32060),PGK_(AT1G79550),0.000001
PRK_(AT1G32060),PGK1_(AT3G12780),0.000001
PRK_(AT1G32060),PRK_(AT1G32060),1
PRK_(AT1G32060),RBCS1A_(AT1G67090),0.000001
PRK_(AT1G32060),RBCS1B_(AT5G38430),0.000001
PRK_(AT1G32060),RBCS2B_(AT5G38420),0.000001
PRK_(AT1G32060),RBCS3B_(AT5G38410),0.000001
PRK_(AT1G32060),SBPASE_(AT3G55800),0.124177908
PRK_(AT1G32060),TKTB_(AT3G60750),0.000001
RBCS1A_(AT1G67090),EMB3119_(AT3G04790),0.000001
RBCS1A_(AT1G67090),FBA1_(AT2G21330),0.000001
RBCS1A_(AT1G67090),FBA2_(AT4G38970),0.04444957
RBCS1A_(AT1G67090),FBA8_(AAT3G52930),0.000001
RBCS1A_(AT1G67090),FBP_(AT5G64380),0.000001
RBCS1A_(AT1G67090),GAPA_(AT3G26650),0.000001
RBCS1A_(AT1G67090),GAPA-2_(AT1G12900),0.000001
RBCS1A_(AT1G67090),GAPAB_(AT1G42970),0.065099397
RBCS1A_(AT1G67090),GAPC1_(AT3G04120),0.000001
RBCS1A_(AT1G67090),HCEF1_(AT3G54050),0.000001
RBCS1A_(AT1G67090),PGK_(AT1G56190),0.000001
RBCS1A_(AT1G67090),PGK_(AT1G79550),0.000001
RBCS1A_(AT1G67090),PGK1_(AT3G12780),0.000001
RBCS1A_(AT1G67090),PRK_(AT1G32060),0.000001
RBCS1A_(AT1G67090),RBCS1A_(AT1G67090),1
RBCS1A_(AT1G67090),RBCS1B_(AT5G38430),0.098273586
RBCS1A_(AT1G67090),RBCS2B_(AT5G38420),0.257246631
RBCS1A_(AT1G67090),RBCS3B_(AT5G38410),0.24016238
RBCS1A_(AT1G67090),SBPASE_(AT3G55800),0.166453381
RBCS1A_(AT1G67090),TKTB_(AT3G60750),0.000001
RBCS1B_(AT5G38430),EMB3119_(AT3G04790),0.000001
RBCS1B_(AT5G38430),FBA1_(AT2G21330),0.000001
RBCS1B_(AT5G38430),FBA2_(AT4G38970),0.000001
RBCS1B_(AT5G38430),FBA8_(AAT3G52930),0.000001
RBCS1B_(AT5G38430),FBP_(AT5G64380),0.000001
RBCS1B_(AT5G38430),GAPA_(AT3G26650),0.000001
RBCS1B_(AT5G38430),GAPA-2_(AT1G12900),0.000001
RBCS1B_(AT5G38430),GAPAB_(AT1G42970),0.000001
RBCS1B_(AT5G38430),GAPC1_(AT3G04120),0.000001
RBCS1B_(AT5G38430),HCEF1_(AT3G54050),0.000001
RBCS1B_(AT5G38430),PGK_(AT1G56190),0.000001
